/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 48/200, minibatch 14/14, validation error 92.000000 %
epoch 49/200, minibatch 14/14, validation error 62.666667 %
epoch 50/200, minibatch 14/14, validation error 88.333333 %
epoch 51/200, minibatch 14/14, validation error 62.666667 %
epoch 52/200, minibatch 14/14, validation error 92.000000 %
epoch 53/200, minibatch 14/14, validation error 88.666667 %
epoch 54/200, minibatch 14/14, validation error 62.666667 %
epoch 55/200, minibatch 14/14, validation error 76.666667 %
epoch 56/200, minibatch 14/14, validation error 88.666667 %
epoch 57/200, minibatch 14/14, validation error 88.666667 %
epoch 58/200, minibatch 14/14, validation error 62.666667 %
epoch 59/200, minibatch 14/14, validation error 76.666667 %
epoch 60/200, minibatch 14/14, validation error 62.666667 %
epoch 61/200, minibatch 14/14, validation error 62.666667 %
epoch 62/200, minibatch 14/14, validation error 62.666667 %
epoch 63/200, minibatch 14/14, validation error 92.000000 %
epoch 64/200, minibatch 14/14, validation error 76.666667 %
epoch 65/200, minibatch 14/14, validation error 88.666667 %
epoch 66/200, minibatch 14/14, validation error 99.000000 %
epoch 67/200, minibatch 14/14, validation error 97.666667 %
epoch 68/200, minibatch 14/14, validation error 88.666667 %
epoch 69/200, minibatch 14/14, validation error 62.666667 %
epoch 70/200, minibatch 14/14, validation error 62.666667 %
epoch 71/200, minibatch 14/14, validation error 62.666667 %
epoch 72/200, minibatch 14/14, validation error 62.666667 %
epoch 73/200, minibatch 14/14, validation error 88.333333 %
epoch 74/200, minibatch 14/14, validation error 62.666667 %
epoch 75/200, minibatch 14/14, validation error 62.666667 %
epoch 76/200, minibatch 14/14, validation error 62.666667 %
epoch 77/200, minibatch 14/14, validation error 92.000000 %
epoch 78/200, minibatch 14/14, validation error 76.666667 %
epoch 79/200, minibatch 14/14, validation error 76.666667 %
epoch 80/200, minibatch 14/14, validation error 92.000000 %
epoch 81/200, minibatch 14/14, validation error 76.666667 %
epoch 82/200, minibatch 14/14, validation error 76.666667 %
epoch 83/200, minibatch 14/14, validation error 76.666667 %
epoch 84/200, minibatch 14/14, validation error 62.666667 %
epoch 85/200, minibatch 14/14, validation error 76.666667 %
epoch 86/200, minibatch 14/14, validation error 76.666667 %
epoch 87/200, minibatch 14/14, validation error 97.666667 %
epoch 88/200, minibatch 14/14, validation error 76.666667 %
epoch 89/200, minibatch 14/14, validation error 62.666667 %
epoch 90/200, minibatch 14/14, validation error 62.666667 %
epoch 91/200, minibatch 14/14, validation error 76.666667 %
epoch 92/200, minibatch 14/14, validation error 76.666667 %
epoch 93/200, minibatch 14/14, validation error 62.666667 %
epoch 94/200, minibatch 14/14, validation error 76.666667 %
epoch 95/200, minibatch 14/14, validation error 76.666667 %
epoch 96/200, minibatch 14/14, validation error 62.666667 %
epoch 97/200, minibatch 14/14, validation error 62.666667 %
